Direction,YYYYMM,Foreign Initial Country,HS Code 2 Digit,TEUS
I,201808,HONDURAS,60,15.4
I,201808,ITALY,39,35.08
I,201808,JAMAICA,3,2
I,201808,JAMAICA,22,1.47
I,201808,MEXICO,85,1
I,201808,MEXICO,94,5
I,201808,NETHERLANDS,87,4.47
I,201808,NETHERLANDS ANTILLES,85,1.14
I,201808,PANAMA,7,17
I,201808,PANAMA,48,17.91
I,201808,PANAMA,72,10.22
I,201808,PORTUGAL,73,20.41
I,201808,TRINIDAD AND TOBAGO,90,0.13
I,201808,TURKS AND CAICOS IS,33,1
I,201808,TURKS AND CAICOS IS,86,102.36
I,201808,UNITED KINGDOM,42,3.15
I,201808,VIRGIN ISLAND,40,13.52
I,201808,BELIZE,33,1
I,201808,COLOMBIA,89,7
I,201808,ECUADOR,49,0.91
I,201808,ECUADOR,76,30
I,201808,GERMANY,37,4
I,201808,GERMANY,57,1.75
I,201808,GUATEMALA,17,12.6
I,201808,HAITI,61,4.89
I,201808,HONDURAS,63,7.75
I,201808,ITALY,87,26.5
I,201808,ITALY,90,6.77
I,201808,PANAMA,11,18
I,201808,PANAMA,32,1.1
I,201808,PERU,62,18.05
I,201808,PORTUGAL,64,0.86
I,201808,PORTUGAL,69,68.32
I,201808,SPAIN-S,24,8
I,201808,SPAIN-S,40,3.14
I,201808,SPAIN-S,48,38.38
I,201808,TRINIDAD AND TOBAGO,87,2.05
I,201808,UNITED KINGDOM,44,0.96
I,201808,UNITED KINGDOM,83,0.29
I,201808,UNITED KINGDOM,90,0.47
I,201808,ARGENTINA,48,20.63
I,201808,BAHAMAS,2,2
I,201808,BAHAMAS,19,23.99
I,201808,BELGIUM,22,366.74
I,201808,BELGIUM,44,88.58
I,201808,BELGIUM,87,6.39
I,201808,BRAZIL,87,23.89
I,201808,COLOMBIA,34,10.11
I,201808,COLOMBIA,64,2
I,201808,DOMINICAN REPUBLIC,31,2
I,201808,DOMINICAN REPUBLIC,49,2.67
I,201808,DOMINICAN REPUBLIC,72,9
I,201808,DOMINICAN REPUBLIC,76,16.56
I,201808,GERMANY,70,14.85
I,201808,GUATEMALA,18,1.67
I,201808,HONDURAS,34,2.16
I,201808,HONDURAS,95,5.78
I,201808,ITALY,33,34.42
I,201808,MEXICO,84,8
I,201808,NETHERLANDS,39,9.01
I,201808,NICARAGUA,87,12
I,201808,PERU,20,2.91
I,201808,PERU,21,1.95
I,201808,PORTUGAL,8,6.1
I,201808,UNITED KINGDOM,27,1.11
I,201808,UNITED KINGDOM,96,0.38
I,201808,BAHAMAS,3,4
I,201808,BAHAMAS,17,2
I,201808,BAHAMAS,45,10.75
I,201808,BELGIUM,33,24.46
I,201808,BELIZE,89,2
I,201808,COLOMBIA,85,46
I,201808,DOMINICAN REPUBLIC,9,1.75
I,201808,DOMINICAN REPUBLIC,84,65.3
I,201808,ECUADOR,20,5.82
I,201808,ECUADOR,39,40.38
I,201808,GERMANY,86,11
I,201808,GUATEMALA,,47.84
I,201808,HONDURAS,38,28.5
I,201808,ITALY,35,1
I,201808,ITALY,,94.33
I,201808,PEOPLES REP OF CHINA,84,2.99
I,201808,PEOPLES REP OF CHINA,86,0
I,201808,PERU,19,5.5
I,201808,PERU,22,1.78
I,201808,PORTUGAL,76,8
I,201808,SPAIN-S,61,2
I,201808,TRINIDAD AND TOBAGO,89,2
I,201808,UNITED KINGDOM,35,0.25
I,201808,VIRGIN ISLAND,42,0.66
I,201808,BELGIUM,28,24
I,201808,BELGIUM,89,11.18
I,201808,BRAZIL,25,279.49
I,201808,COLOMBIA,7,12.2
I,201808,COLOMBIA,11,4
I,201808,DOMINICAN REPUBLIC,52,106.88
I,201808,ECUADOR,19,0.03
I,201808,ECUADOR,82,0.29
I,201808,GERMANY,25,2.87
I,201808,GERMANY,39,50.62
I,201808,GUATEMALA,55,1.92
I,201808,GUATEMALA,68,2
I,201808,GUATEMALA,89,2.25
I,201808,ITALY,64,12.35
I,201808,ITALY,89,71.75
I,201808,NETHERLANDS ANTILLES,24,0.4
I,201808,NICARAGUA,39,0.98
I,201808,PANAMA,40,6.1
I,201808,PANAMA,70,3.86
I,201808,PERU,51,0.33
I,201808,UNITED KINGDOM,64,0.63
I,201808,VENEZUELA,94,4
I,201808,VIRGIN ISLAND,38,7.11
I,201808,VIRGIN ISLAND,94,2.56
I,201808,BAHAMAS,10,8
I,201808,BRAZIL,16,10
I,201808,BRAZIL,34,0.25
I,201808,CAYMAN ISLANDS,73,3.75
I,201808,CAYMAN ISLANDS,84,2.24
I,201808,CHILE,37,1
I,201808,COLOMBIA,32,2.42
I,201808,COLOMBIA,62,54.44
I,201808,COSTA RICA,76,13.72
I,201808,DOMINICAN REPUBLIC,4,1.49
I,201808,DOMINICAN REPUBLIC,22,112.1
I,201808,DOMINICAN REPUBLIC,59,4
I,201808,ECUADOR,38,1.13
I,201808,GUATEMALA,29,0.22
I,201808,ITALY,34,1.91
I,201808,ITALY,94,422.49
I,201808,LEEWARD AND WINDWARD,74,0.8
I,201808,NETHERLANDS,7,2
I,201808,NETHERLANDS,,7.53
I,201808,NETHERLANDS ANTILLES,70,1
I,201808,NETHERLANDS ANTILLES,86,8.75
I,201808,PEOPLES REP OF CHINA,90,0
I,201808,PORTUGAL,20,22.15
I,201808,PORTUGAL,21,10.28
I,201808,TRINIDAD AND TOBAGO,85,18.42
I,201808,TRINIDAD AND TOBAGO,94,3
I,201808,UNITED KINGDOM,69,0.28
I,201808,VENEZUELA,73,14
I,201808,VIRGIN ISLAND,73,58.01
I,201808,BAHAMAS,29,12.26
I,201808,BELIZE,86,0.67
I,201808,BRAZIL,72,1.75
I,201808,BRAZIL,85,28.6
I,201808,BRAZIL,94,44.13
I,201808,CHILE,44,126.39
I,201808,COLOMBIA,19,19.26
I,201808,COLOMBIA,67,45.18
I,201808,DOMINICAN REPUBLIC,53,2
I,201808,DOMINICAN REPUBLIC,87,30.11
I,201808,GUATEMALA,14,0.25
I,201808,ITALY,48,128.61
I,201808,ITALY,72,3.29
I,201808,ITALY,85,11.22
I,201808,NICARAGUA,38,1
I,201808,PANAMA,63,0.18
I,201808,PEOPLES REP OF CHINA,87,3.14
I,201808,PERU,61,11
I,201808,PORTUGAL,3,2
I,201808,PORTUGAL,19,5.77
I,201808,PORTUGAL,22,72.04
I,201808,PORTUGAL,59,2
I,201808,SPAIN-S,10,5
I,201808,SPAIN-S,27,2
I,201808,VENEZUELA,9,10
I,201808,VENEZUELA,84,5
I,201808,ALGERIA,39,2
I,201808,BAHAMAS,16,5
I,201808,BAHAMAS,23,3.65
I,201808,BELGIUM,38,10.18
I,201808,BRAZIL,48,706.83
I,201808,CHILE,33,5.25
I,201808,CHILE,70,5
I,201808,COLOMBIA,41,2
I,201808,COSTA RICA,20,21.44
I,201808,COSTA RICA,21,7.17
I,201808,GERMANY,7,10
I,201808,GERMANY,,28.69
I,201808,GUATEMALA,48,3.85
I,201808,HAITI,8,51.14
I,201808,HAITI,21,0.08
I,201808,HONDURAS,44,126.39
I,201808,ITALY,11,17
I,201808,JAMAICA,9,1.52
I,201808,JAMAICA,84,2.35
I,201808,LEEWARD AND WINDWARD,86,0
I,201808,MEXICO,21,4
I,201808,PANAMA,46,2
I,201808,PANAMA,78,1
I,201808,SPAIN-S,73,19.74
I,201808,TRINIDAD AND TOBAGO,73,10
I,201808,UNITED KINGDOM,70,2
I,201808,VENEZUELA,69,3.73
I,201808,BAHAMAS,71,0.13
I,201808,BRAZIL,9,23.75
I,201808,BRAZIL,11,51.25
I,201808,CAYMAN ISLANDS,76,3.19
I,201808,CAYMAN ISLANDS,87,1
I,201808,COLOMBIA,70,103.11
I,201808,COSTA RICA,4,0.83
I,201808,COSTA RICA,8,342.17
I,201808,COSTA RICA,19,4
I,201808,COSTA RICA,22,7
I,201808,DOMINICAN REPUBLIC,63,10.5
I,201808,HONDURAS,70,19.04
I,201808,HONDURAS,87,21.32
I,201808,HONDURAS,96,1.36
I,201808,ITALY,32,23.85
I,201808,JAMAICA,21,1.28
I,201808,NETHERLANDS ANTILLES,42,1.05
I,201808,NETHERLANDS ANTILLES,44,2.28
I,201808,SPAIN-S,52,4.88
I,201808,SPAIN-S,64,1
I,201808,SPAIN-S,69,141.82
I,201808,UNITED KINGDOM,32,2.3
I,201808,UNITED KINGDOM,62,0.37
I,201808,URUGUAY,84,2
I,201808,VENEZUELA,8,1
I,201808,VENEZUELA,76,29
I,201808,VENEZUELA,87,19.75
I,201808,BAHAMAS,49,0.96
I,201808,BAHAMAS,54,0.88
I,201808,BELGIUM,68,1.75
I,201808,BELIZE,87,1.26
I,201808,BRAZIL,37,0.38
I,201808,BRAZIL,52,3.91
I,201808,DOMINICAN REPUBLIC,3,4
I,201808,DOMINICAN REPUBLIC,95,96.5
I,201808,GERMANY,36,1
I,201808,GERMANY,64,5.75
I,201808,GUATEMALA,56,2.25
I,201808,ITALY,45,30
I,201808,ITALY,66,2
I,201808,ITALY,67,0.13
I,201808,JAMAICA,83,0.14
I,201808,LEEWARD AND WINDWARD,87,1.01
I,201808,NETHERLANDS,48,40
I,201808,PANAMA,10,1
I,201808,PANAMA,88,0.1
I,201808,PERU,49,0.29
I,201808,PORTUGAL,63,3
I,201808,SPAIN-S,8,9.87
I,201808,SPAIN-S,76,92
I,201808,TRINIDAD AND TOBAGO,37,0.13
I,201808,TURKEY,,6
I,201808,UNITED KINGDOM,19,43.84
I,201808,UNITED KINGDOM,21,1.95
I,201808,BAHAMAS,9,0.5
I,201808,BRAZIL,22,15.99
I,201808,CAYMAN ISLANDS,39,4.08
I,201808,CHILE,94,1.75
I,201808,COLOMBIA,25,52.16
I,201808,COLOMBIA,58,0.06
I,201808,DOMINICAN REPUBLIC,12,2
I,201808,DOMINICAN REPUBLIC,74,4
I,201808,GERMANY,76,220.61
I,201808,GUATEMALA,6,29.27
I,201808,GUATEMALA,42,4.85
I,201808,HONDURAS,25,4
I,201808,NETHERLANDS ANTILLES,,3.89
I,201808,PANAMA,9,5
I,201808,PANAMA,20,61.75
I,201808,PERU,9,6.28
I,201808,PERU,84,2
I,201808,PORTUGAL,16,3
I,201808,TRINIDAD AND TOBAGO,48,0.48
I,201808,UNITED KINGDOM,40,5
I,201808,BAHAMAS,20,45.27
I,201808,BAHAMAS,21,11.65
I,201808,BAHAMAS,39,31.99
I,201808,BELGIUM,57,0.43
I,201808,BELGIUM,90,21.69
I,201808,BRAZIL,40,20
I,201808,BRAZIL,70,6.79
I,201808,CAYMAN ISLANDS,95,1
I,201808,CHILE,47,28
I,201808,CHILE,72,3.44
I,201808,COLOMBIA,16,1.21
I,201808,COLOMBIA,46,0
I,201808,DOMINICAN REPUBLIC,10,2
I,201808,DOMINICAN REPUBLIC,28,119.58
I,201808,ECUADOR,86,2
I,201808,FRANCE-S,22,2
I,201808,GERMANY,48,68
I,201808,GUATEMALA,44,44.61
I,201808,GUATEMALA,65,0.41
I,201808,GUATEMALA,90,36.87
I,201808,GUATEMALA,96,1.75
I,201808,HAITI,95,25.99
I,201808,ITALY,40,5
I,201808,ITALY,70,23.56
I,201808,ITALY,96,2
I,201808,JAMAICA,28,0.14
I,201808,NETHERLANDS,25,2
I,201808,NICARAGUA,70,3
I,201808,PEOPLES REP OF CHINA,85,1
I,201808,PERU,39,39.58
I,201808,SPAIN-S,20,72.32
I,201808,SPAIN-S,62,1
I,201808,TRINIDAD AND TOBAGO,86,0
I,201808,UNITED KINGDOM,91,0.13
I,201808,URUGUAY,76,2
I,201808,URUGUAY,87,5.57
I,201808,VENEZUELA,95,1
I,201808,VIRGIN ISLAND,3,0.15
I,201808,VIRGIN ISLAND,21,2
I,201808,BAHAMAS,4,4
I,201808,BAHAMAS,22,137.78
I,201808,BAHAMAS,82,0.17
I,201808,BERMUDA,,1
I,201808,BRAZIL,63,2.73
I,201808,CAYMAN ISLANDS,83,0.4
I,201808,CHILE,7,4
I,201808,CHILE,,27.95
I,201808,COLOMBIA,31,2
I,201808,COLOMBIA,94,32.74
I,201808,COSTA RICA,3,2
I,201808,COSTA RICA,29,1
I,201808,COSTA RICA,95,9.85
I,201808,FRANCE-N,42,1
I,201808,GERMANY,11,2.35
I,201808,GERMANY,32,12
I,201808,GUATEMALA,27,0.25
I,201808,GUATEMALA,33,4.72
I,201808,HAITI,38,1.38
I,201808,HONDURAS,85,105.09
I,201808,ITALY,61,0.58
I,201808,ITALY,63,0.13
I,201808,NETHERLANDS ANTILLES,69,0.4
I,201808,NICARAGUA,86,0.09
I,201808,PANAMA,4,3
I,201808,PANAMA,8,80
I,201808,PANAMA,22,33.26
I,201808,PANAMA,76,4.2
I,201808,PERU,4,21
I,201808,PORTUGAL,31,4
I,201808,PORTUGAL,49,2.03
I,201808,SPAIN-S,2,2
I,201808,SPAIN-S,19,17.34
I,201808,SPAIN-S,21,4
I,201808,TURKS AND CAICOS IS,94,2
I,201808,UNITED KINGDOM,61,0.09
I,201808,VIRGIN ISLAND,22,32
I,201808,ARGENTINA,20,12
I,201808,BAHAMAS,83,8.78
I,201808,BELGIUM,56,0.03
I,201808,BELIZE,17,4
I,201808,BELIZE,83,1
I,201808,BELIZE,94,2.67
I,201808,BRAZIL,3,28.03
I,201808,BRAZIL,95,7.52
I,201808,CHILE,15,8
I,201808,COLOMBIA,73,36.9
I,201808,COSTA RICA,12,8.86
I,201808,ECUADOR,44,40
I,201808,GERMANY,2,12
I,201808,GUATEMALA,35,4
I,201808,HONDURAS,7,403.91
I,201808,HONDURAS,,424.13
I,201808,ITALY,25,134.52
I,201808,NETHERLANDS,94,9.5
I,201808,NETHERLANDS ANTILLES,72,23
I,201808,PANAMA,49,2.93
I,201808,PANAMA,91,0.2
I,201808,PERU,18,2.25
I,201808,PORTUGAL,53,10
I,201808,PORTUGAL,84,18.34
I,201808,SPAIN-S,3,4
I,201808,SPAIN-S,22,92.33
I,201808,SPAIN-S,59,4
I,201808,TURKS AND CAICOS IS,27,9.64
I,201808,UNITED KINGDOM,25,4
I,201808,UNITED KINGDOM,30,3.26
I,201808,UNITED KINGDOM,58,2.18
I,201808,URUGUAY,2,2
I,201808,VENEZUELA,5,2
I,201808,ARGENTINA,8,30
I,201808,ARGENTINA,19,1
I,201808,BELIZE,85,1
I,201808,BRAZIL,23,0.02
I,201808,CHILE,14,3
I,201808,COLOMBIA,9,55.06
I,201808,COLOMBIA,84,31.54
I,201808,COSTA RICA,31,2
I,201808,DOMINICAN REPUBLIC,8,79.92
I,201808,DOMINICAN REPUBLIC,44,54.54
I,201808,DOMINICAN REPUBLIC,90,952.48
I,201808,GERMANY,3,4
I,201808,GERMANY,51,2
I,201808,GUATEMALA,69,8
I,201808,GUATEMALA,81,2.25
I,201808,HONDURAS,68,2.25
I,201808,ITALY,23,3
I,201808,ITALY,46,0.26
I,201808,LEEWARD AND WINDWARD,72,4.12
I,201808,LEEWARD AND WINDWARD,85,4.51
I,201808,PANAMA,33,3.78
I,201808,PORTUGAL,39,14
I,201808,TURKEY,68,6
I,201808,UNITED KINGDOM,34,0.33
I,201808,UNITED KINGDOM,94,10.12
I,201808,URUGUAY,19,2
I,201808,VENEZUELA,88,2
I,201808,ARGENTINA,22,3.75
I,201808,BAHAMAS,63,4.13
I,201808,BELGIUM,18,7
I,201808,BELGIUM,34,4.5
I,201808,BELGIUM,94,25.75
I,201808,BELIZE,,5.75
I,201808,CHILE,40,4
I,201808,CHILE,48,26.24
I,201808,COLOMBIA,8,194.08
I,201808,COLOMBIA,52,42
I,201808,COLOMBIA,69,91.85
I,201808,COSTA RICA,9,6.6
I,201808,COSTA RICA,84,9.52
I,201808,GERMANY,40,13
I,201808,GUATEMALA,85,2.41
I,201808,HAITI,68,17.76
I,201808,HONDURAS,69,14.67
I,201808,ISRAEL,33,2
I,201808,NETHERLANDS,73,5
I,201808,NICARAGUA,85,3
I,201808,NICARAGUA,94,2
I,201808,PANAMA,2,10
I,201808,PANAMA,95,2.81
I,201808,PERU,63,1.29
I,201808,PORTUGAL,4,2
I,201808,PORTUGAL,44,14.89
I,201808,PORTUGAL,71,0.87
I,201808,PORTUGAL,90,6
I,201808,SPAIN-S,63,7
I,201808,SPAIN-S,88,4
I,201808,TRINIDAD AND TOBAGO,,14.07
I,201808,UNITED KINGDOM,72,0.26
I,201808,UNITED KINGDOM,76,5.79
I,201808,BAHAMAS,95,12.3
I,201808,BELGIUM,7,2
I,201808,BELGIUM,72,2
I,201808,BELGIUM,85,13.18
I,201808,BRAZIL,10,61
I,201808,BRAZIL,88,9.75
I,201808,COLOMBIA,4,6.98
I,201808,COLOMBIA,22,145.95
I,201808,COLOMBIA,76,935.5
I,201808,DOMINICAN REPUBLIC,33,79.16
I,201808,DOMINICAN REPUBLIC,86,6.34
I,201808,GERMANY,63,8
I,201808,GERMANY,88,1
I,201808,GUATEMALA,7,175.26
I,201808,HONDURAS,14,0.12
I,201808,ITALY,7,9.91
I,201808,ITALY,9,20
I,201808,JAMAICA,86,50
I,201808,MEXICO,39,2
I,201808,NICARAGUA,,13.02
I,201808,PANAMA,3,105.39
I,201808,PANAMA,82,0.43
I,201808,PORTUGAL,18,1.22
I,201808,PORTUGAL,83,1
I,201808,UNITED KINGDOM,9,0.22
I,201808,UNITED KINGDOM,73,4.49
I,201808,UNITED KINGDOM,84,35.09
I,201808,URUGUAY,88,1
I,201808,ARGENTINA,63,2
I,201808,BAHAMAS,12,1
I,201808,BELGIUM,,50.21
I,201808,BRAZIL,73,11.53
I,201808,BRAZIL,84,14.47
I,201808,COLOMBIA,40,8
I,201808,COSTA RICA,90,96.56
I,201808,DOMINICAN REPUBLIC,39,423.12
I,201808,GERMANY,29,2.98
I,201808,GERMANY,73,15.15
I,201808,GUATEMALA,11,0.87
I,201808,GUATEMALA,62,682.39
I,201808,HONDURAS,24,37.16
I,201808,HONDURAS,40,11.5
I,201808,HONDURAS,48,11.18
I,201808,ITALY,15,40.25
I,201808,ITALY,62,0.58
I,201808,MEXICO,82,2
I,201808,PANAMA,38,1
I,201808,PERU,12,0.44
I,201808,PORTUGAL,33,2.14
I,201808,SPAIN-S,16,1
I,201808,URUGUAY,29,2
I,201808,BAHAMAS,5,1
I,201808,BRAZIL,8,1
I,201808,BRAZIL,69,152.92
I,201808,CAYMAN ISLANDS,86,1.75
I,201808,CHILE,30,5.47
I,201808,COLOMBIA,2,16
I,201808,COLOMBIA,63,1.89
I,201808,COSTA RICA,87,0.29
I,201808,DOMINICAN REPUBLIC,17,10
I,201808,ECUADOR,12,0.29
I,201808,GUATEMALA,20,178.22
I,201808,GUATEMALA,21,23.14
I,201808,ITALY,8,6.39
I,201808,ITALY,52,1
I,201808,ITALY,69,383.29
I,201808,ITALY,81,3.22
I,201808,NICARAGUA,52,18
I,201808,NICARAGUA,69,8
I,201808,PORTUGAL,89,3
I,201808,UNITED KINGDOM,92,0.11
I,201808,BAHAMAS,68,85.13
I,201808,BAHAMAS,84,47.01
I,201808,BAHAMAS,86,54
I,201808,BELGIUM,66,2
I,201808,BELIZE,40,0.5
I,201808,BRAZIL,4,2
I,201808,BRAZIL,71,0.15
I,201808,BRAZIL,76,1
I,201808,COLOMBIA,3,10.44
I,201808,COLOMBIA,95,19.27
I,201808,COSTA RICA,33,3
I,201808,DOMINICAN REPUBLIC,38,8.32
I,201808,DOMINICAN REPUBLIC,85,485.24
I,201808,ECUADOR,7,19.07
I,201808,ECUADOR,48,0.14
I,201808,GUATEMALA,19,99.64
I,201808,GUATEMALA,22,79.2
I,201808,HAITI,39,3.62
I,201808,HONDURAS,56,2.25
I,201808,HONDURAS,61,489.66
I,201808,ITALY,4,0.4
I,201808,ITALY,22,288.29
I,201808,ITALY,76,40.1
I,201808,PANAMA,29,0.33
I,201808,PANAMA,68,0.2
I,201808,PANAMA,73,1.23
I,201808,PANAMA,84,34.64
I,201808,PERU,86,0
I,201808,PORTUGAL,95,17.61
I,201808,SPAIN-S,49,4.04
I,201808,SPAIN-S,53,10
I,201808,TRINIDAD AND TOBAGO,49,0.13
I,201808,TRINIDAD AND TOBAGO,76,2
I,201808,UNITED KINGDOM,4,0.15
I,201808,UNITED KINGDOM,22,62.05
I,201808,VENEZUELA,20,20
I,201808,VENEZUELA,86,0
I,201808,VIRGIN ISLAND,84,0.31
I,201808,VIRGIN ISLAND,86,0.9
I,201808,BELGIUM,24,2
I,201808,BELGIUM,48,132.17
I,201808,CAYMAN ISLANDS,42,1.75
I,201808,COLOMBIA,17,25.9
I,201808,COLOMBIA,30,14
I,201808,COSTA RICA,39,97.35
I,201808,DOMINICAN REPUBLIC,7,15.84
I,201808,DOMINICAN REPUBLIC,47,1.19
I,201808,DOMINICAN REPUBLIC,,225.17
I,201808,GERMANY,49,12.12
I,201808,GUATEMALA,40,0.2
I,201808,HONDURAS,42,6.15
I,201808,HONDURAS,65,6.27
I,201808,ITALY,49,4.05
I,201808,JAMAICA,33,1
I,201808,NICARAGUA,24,2
I,201808,SPAIN-S,9,8
I,201808,SPAIN-S,84,31.45
I,201808,TRINIDAD AND TOBAGO,11,0.03
I,201808,VENEZUELA,39,2
I,201808,VIRGIN ISLAND,39,0.17
I,201808,BAHAMAS,44,39.32
I,201808,BAHAMAS,90,2
I,201808,BELGIUM,40,12.3
I,201808,BELGIUM,70,10.18
I,201808,BELIZE,3,4
I,201808,BRAZIL,20,66.75
I,201808,CAYMAN ISLANDS,44,9
I,201808,COLOMBIA,5,1.96
I,201808,COLOMBIA,12,6.16
I,201808,COLOMBIA,38,118.43
I,201808,COSTA RICA,6,39
I,201808,DOMINICAN REPUBLIC,68,9.63
I,201808,GERMANY,20,4
I,201808,GUATEMALA,70,23
I,201808,HONDURAS,83,2.25
I,201808,HONDURAS,94,3.11
I,201808,JAMAICA,89,0.14
I,201808,LEEWARD AND WINDWARD,3,1
I,201808,NETHERLANDS ANTILLES,94,1.75
I,201808,NICARAGUA,62,103.74
I,201808,PEOPLES REP OF CHINA,,8.01
I,201808,SPAIN-S,39,36.52
I,201808,TRINIDAD AND TOBAGO,19,2.33
I,201808,UNITED KINGDOM,63,0.13
I,201808,UNITED KINGDOM,97,1.22
I,201808,VIRGIN ISLAND,87,44.66
I,201808,ARGENTINA,9,3
I,201808,ARGENTINA,84,6
I,201808,BAHAMAS,87,14.25
I,201808,BAHAMAS,96,1
I,201808,BELGIUM,2,2
I,201808,BELGIUM,60,0.18
I,201808,BRAZIL,2,2.03
I,201808,BRAZIL,19,184.45
I,201808,BRAZIL,21,4.75
I,201808,BRAZIL,39,47.52
I,201808,CAYMAN ISLANDS,33,1
I,201808,CAYMAN ISLANDS,,10.38
I,201808,COLOMBIA,10,1
I,201808,COLOMBIA,88,2
I,201808,COSTA RICA,74,3.52
I,201808,COSTA RICA,85,13.23
I,201808,DOMINICAN REPUBLIC,15,0.67
I,201808,GERMANY,19,43.25
I,201808,GERMANY,21,1
I,201808,GUATEMALA,61,510.25
I,201808,HONDURAS,27,47.25
I,201808,ITALY,95,1.89
I,201808,PANAMA,54,0.1
I,201808,PANAMA,87,13.66
I,201808,PERU,44,0
I,201808,PERU,87,2
I,201808,PERU,90,1
I,201808,PORTUGAL,32,1
I,201808,PORTUGAL,68,48.84
I,201808,SPAIN-S,83,12.48
I,201808,SPAIN-S,90,2
I,201808,TURKEY,7,2
I,201808,UNITED KINGDOM,95,12.82
I,201808,URUGUAY,39,2
I,201808,BAHAMAS,33,25.67
I,201808,BELGIUM,25,3.96
I,201808,BRAZIL,17,1.13
I,201808,BRAZIL,82,5.92
I,201808,CHILE,8,186.67
I,201808,COLOMBIA,29,10.5
I,201808,COLOMBIA,68,18.25
I,201808,COLOMBIA,80,0.36
I,201808,COSTA RICA,7,99.9
I,201808,COSTA RICA,72,6.51
I,201808,ECUADOR,87,1
I,201808,GERMANY,22,43.98
I,201808,GERMANY,44,52.32
I,201808,GUATEMALA,16,0.37
I,201808,GUATEMALA,30,1
I,201808,GUATEMALA,34,42.19
I,201808,GUATEMALA,58,0.4
I,201808,HONDURAS,35,3.01
I,201808,HONDURAS,73,26.93
I,201808,NETHERLANDS,88,8.75
I,201808,NETHERLANDS ANTILLES,73,14.75
I,201808,PERU,33,3.5
I,201808,SPAIN-S,18,1
I,201808,TRINIDAD AND TOBAGO,40,0.59
I,201808,VENEZUELA,,69.25
I,201808,ARGENTINA,4,2
I,201808,ARGENTINA,87,4.13
I,201808,BAHAMAS,89,44.52
I,201808,BAHAMAS,97,0.13
I,201808,BRAZIL,12,2
I,201808,CHILE,4,0.33
I,201808,CHILE,76,2
I,201808,DOMINICAN REPUBLIC,48,36.48
I,201808,DOMINICAN REPUBLIC,70,2
I,201808,GERMANY,33,8.01
I,201808,GUATEMALA,94,54.29
I,201808,HONDURAS,8,802.88
I,201808,HONDURAS,52,37.78
I,201808,HONDURAS,64,1.38
I,201808,ITALY,12,2
